simplified	traditional	pronunciation	meaning	hsklevel
中	中	zhong1	within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right	1
中	中	zhong4	to hit (a target); to be struck by (a bullet, illness etc); to win (a prize or lottery)	1
中介	中介	zhong1 jie4	to act as intermediary; to link; intermediate; inter-; agency; agent	4
中午	中午	zhong1 wu3	noon; midday; CL:個|个[ge4]	1
中国	中國	Zhong1 guo2	China	1
中国画	中國畫	Zhong1 guo2 hua4	Chinese painting	7-9
中型	中型	zhong1 xing2	medium sized	7-9
中外	中外	zhong1 wai4	Sino-foreign; Chinese-foreign; home and abroad	6
中央	中央	zhong1 yang1	central; middle; center; central authorities (of a state)	5
中学	中學	zhong1 xue2	middle school	1
中学生	中學生	zhong1 xue2 sheng1	middle-school student; high school student	1
中小学	中小學	zhong1 xiao3 xue2	middle and elementary school	2
中年	中年	zhong1 nian2	middle age	2
中庸	中庸	Zhong1 yong1	the Doctrine of the Mean, one of the Four Books 四書|四书[Si4 shu1]	7-9
中庸	中庸	zhong1 yong1	golden mean (Confucianism); (literary) (of person) mediocre; ordinary	7-9
中心	中心	zhong1 xin1	center; heart; core	2
中性	中性	zhong1 xing4	neutral	7-9
中文	中文	Zhong1 wen2	Chinese language	1
中断	中斷	zhong1 duan4	to cut short; to break off; to discontinue; to interrupt	5
中旬	中旬	zhong1 xun2	middle third of a month	7-9
中期	中期	zhong1 qi1	middle (of a period of time); medium-term (plan, forecast etc)	6
中止	中止	zhong1 zhi3	to cease; to suspend; to break off; to stop; to discontinue	7-9
中毒	中毒	zhong4 du2	to be poisoned	5
中奖	中獎	zhong4 jiang3	to win a prize (in a lottery etc)	4
中秋节	中秋節	Zhong1 qiu1 jie2	the Mid-Autumn Festival on 15th of 8th lunar month	5
中立	中立	zhong1 li4	neutral; neutrality	7-9
中等	中等	zhong1 deng3	medium	6
中级	中級	zhong1 ji2	middle level (in a hierarchy)	2
中华	中華	Zhong1 hua2	Zhonghua, historical and cultural term for China, often used to denote Chinese civilization and identity (as in 中華文化|中华文化[Zhong1 hua2 wen2 hua4] "Chinese culture"); used in the official name of the Republic of China, 中華民國|中华民国[Zhong1 hua2 Min2 guo2]	6
中华民族	中華民族	Zhong1 hua2 min2 zu2	the Chinese nation; the Chinese people (collective reference to all the ethnic groups in China)	3
中药	中藥	zhong1 yao4	traditional Chinese medicine; CL:服[fu4]	5
中途	中途	zhong1 tu2	midway	7-9
中部	中部	zhong1 bu4	middle part; central section; central region	3
中医	中醫	zhong1 yi1	traditional Chinese medical science; a doctor trained in Chinese medicine	2
中间	中間	zhong1 jian1	the middle; the inside; in the middle; within; between; among; during; in the meantime	1
中餐	中餐	zhong1 can1	lunch; Chinese meal; Chinese food; CL:份[fen4],頓|顿[dun4]	2
串	串	chuan4	to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across	6
串门	串門	chuan4 men2	to call on sb; to drop in; to visit sb's home	7-9
丸	丸	wan2	ball; pellet; pill	7-9
主	主	zhu3	owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games)	7-9
主人	主人	zhu3 ren2	master; host; owner; CL:個|个[ge4]	2
主人公	主人公	zhu3 ren2 gong1	hero (of a novel or film); main protagonist	7-9
主任	主任	zhu3 ren4	director; head; CL:個|个[ge4]	3
主力	主力	zhu3 li4	main force; main strength of an army	7-9
主动	主動	zhu3 dong4	to take the initiative; to do sth of one's own accord; spontaneous; active; opposite: passive 被動|被动[bei4 dong4]; drive (of gears and shafts etc)	3
主妇	主婦	zhu3 fu4	housewife; woman of senior authority in a household; the lady of the house; hostess	7-9
主宰	主宰	zhu3 zai3	to dominate; to rule; to dictate; master	7-9
主导	主導	zhu3 dao3	leading; dominant; prevailing; to lead; to direct; to dominate	5
主席	主席	zhu3 xi2	chairperson; premier; chairman; CL:個|个[ge4],位[wei4]	4
主张	主張	zhu3 zhang1	to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:個|个[ge4]	3
主意	主意	zhu3 yi5	plan; idea; decision; CL:個|个[ge4]; Beijing pr. [zhu2 yi5]	3
主持	主持	zhu3 chi2	to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor	3
主持人	主持人	zhu3 chi2 ren2	host; master of ceremonies; (TV or radio) presenter; anchor; (Tw) (research project) principal investigator (PI); program director	6
主权	主權	zhu3 quan2	sovereignty	7-9
主流	主流	zhu3 liu2	main stream (of a river); fig. the essential point; main viewpoint of a matter; mainstream (culture etc)	6
主演	主演	zhu3 yan3	to play the leading role; to star; lead actor	7-9
主管	主管	zhu3 guan3	in charge; responsible for; person in charge; manager	5
主编	主編	zhu3 bian1	editor in chief	7-9
主义	主義	zhu3 yi4	-ism; ideology	7-9
主要	主要	zhu3 yao4	main; principal; major; primary	2
主观	主觀	zhu3 guan1	subjective	5
主角	主角	zhu3 jue2	leading role; lead; protagonist	6
主办	主辦	zhu3 ban4	to organize; to host (a conference or sports event)	5
主页	主頁	zhu3 ye4	home page	7-9
主题	主題	zhu3 ti2	theme; subject	4
主题歌	主題歌	zhu3 ti2 ge1	theme song	7-9
主食	主食	zhu3 shi2	staple food	7-9
主体	主體	zhu3 ti3	main part; bulk; body; subject; agent	5
乃	乃	nai3	to be; thus; so; therefore; then; only; thereupon	7-9
乃至	乃至	nai3 zhi4	and even; to go so far as to	7-9
久	久	jiu3	(of a period of time) long	3
久仰	久仰	jiu3 yang3	honorific: I've long looked forward to meeting you.; It's an honor to meet you at last.	7-9
久违	久違	jiu3 wei2	(haven't done sth) for a long time; a long time since we last met	7-9
之一	之一	zhi1 yi1	one of (sth); one out of a multitude; one (third, quarter, percent etc)	4
之下	之下	zhi1 xia4	under; beneath; less than	5
之中	之中	zhi1 zhong1	inside; among; in the midst of (doing sth); during	5
之内	之內	zhi1 nei4	inside; within	5
之前	之前	zhi1 qian2	before; prior to; ago; previously; beforehand	4
之外	之外	zhi1 wai4	outside; excluding	5
之后	之後	zhi1 hou4	after; behind; (at the beginning of a sentence) afterwards; since then	4
之所以	之所以	zhi1 suo3 yi3	(after a noun N and before a predicate P) the reason why N P; Example: 我之所以討厭他|我之所以讨厌他[wo3 zhi1 suo3 yi3 tao3 yan4 ta1] "the reason why I dislike him (is ...)"	7-9
之间	之間	zhi1 jian1	(after a noun) between; among; amid; (used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 彈指之間|弹指之间[tan2 zhi3 zhi1 jian1])	4
之类	之類	zhi1 lei4	and so on; and such	6
乒乓球	乒乓球	ping1 pang1 qiu2	table tennis; ping-pong; table tennis ball; CL:個|个[ge4]	7-9
乖	乖	guai1	(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal	7-9
乖巧	乖巧	guai1 qiao3	clever (child); smart; lovable; cute	7-9
乘	乘	Cheng2	surname Cheng	5
乘	乘	cheng2	to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed	5
乘	乘	sheng4	(archaic) four horse military chariot; (archaic) four; generic term for history books	5
乘人之危	乘人之危	cheng2 ren2 zhi1 wei1	to take advantage of sb's precarious position	7-9
乘坐	乘坐	cheng2 zuo4	to take (a ship, plane etc); to ride (in a train or other vehicle)	5
乘客	乘客	cheng2 ke4	passenger	5
乘车	乘車	cheng2 che1	to ride (in a car or carriage); to drive; to motor	5
乙	乙	yi3	second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; second in order; letter "B" or Roman "II" in list "A, B, C", or "I, II, III" etc; second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5); ancient Chinese compass point: 105°	5
乙	乙	zhe2	turning stroke (in Chinese characters), aka 折[zhe2]	5
九	九	jiu3	nine; 9	1
乞丐	乞丐	qi3 gai4	beggar	7-9
乞求	乞求	qi3 qiu2	to beg	7-9
乞讨	乞討	qi3 tao3	to beg; to go begging	7-9
也	也	Ye3	surname Ye	1
也	也	ye3	also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X); (literary) particle having functions similar to 啊[a5]	1
也好	也好	ye3 hao3	that's fine; may as well; (reduplicated) regardless of whether ... or ...	5
也就是说	也就是說	ye3 jiu4 shi4 shuo1	in other words; that is to say; so; thus	7-9
也许	也許	ye3 xu3	perhaps; maybe	2
乳制品	乳製品	ru3 zhi4 pin3	dairy products	6
干	乹	gan1	old variant of 乾|干[gan1]	1
干	乾	Gan1	surname Gan	1
干	乾	gan1	dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; (dialect) rude; blunt; (dialect) to cold-shoulder	1
干旱	乾旱	gan1 han4	drought; (of land, climate etc) arid; dry	7-9
干杯	乾杯	gan1 bei1	to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup	2
干净	乾淨	gan1 jing4	clean; neat	1
干燥	乾燥	gan1 zao4	(of weather, climate, soil etc) dry; arid; (of skin, mouth etc) dry; (fig.) dull; dry; boring; (of timber etc) to dry out; to season; to cure	7-9
干脆	乾脆	gan1 cui4	candid; direct and to the point; simply; just; might as well	5
干	亁	gan1	variant of 乾|干[gan1]	1
乱	亂	luan4	in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary	3
乱七八糟	亂七八糟	luan4 qi1 ba1 zao1	(idiom) chaotic; in disorder; muddled	7-9
了	了	le5	(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)	3
了	了	liao3	to finish; (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3] "cannot forget"); (literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least; to understand clearly (variant of 瞭|了[liao3])	3
了不起	了不起	liao3 bu5 qi3	amazing; terrific; extraordinary	4
了却	了卻	liao3 que4	to resolve; to settle	7-9
了结	了結	liao3 jie2	to settle; to finish; to conclude; to wind up	7-9
了解	了解	liao3 jie3	to understand; to realize; to find out	4
予以	予以	yu3 yi3	to give; to impose; to apply	7-9
事	事	shi4	matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]	1
事件	事件	shi4 jian4	incident; event	3
事先	事先	shi4 xian1	in advance; before the event; beforehand; prior	4
事务	事務	shi4 wu4	(political, economic etc) affairs; work; transaction (as in a computer database)	7-9
事务所	事務所	shi4 wu4 suo3	business office; firm	7-9
事宜	事宜	shi4 yi2	matters; arrangements	7-9
事实	事實	shi4 shi2	fact; CL:個|个[ge4]	3
事实上	事實上	shi4 shi2 shang4	in fact; in reality; actually; as a matter of fact; de facto; ipso facto	3
事后	事後	shi4 hou4	after the event; in hindsight; in retrospect	6
事情	事情	shi4 qing5	affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]	2
事态	事態	shi4 tai4	situation; existing state of affairs	7-9
事故	事故	shi4 gu4	accident; CL:樁|桩[zhuang1],起[qi3],次[ci4]	3
事业	事業	shi4 ye4	undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation; CL:個|个[ge4]	3
事物	事物	shi4 wu4	thing; object	4
事迹	事蹟	shi4 ji4	notable deeds; exploits	7-9
事项	事項	shi4 xiang4	matter; item	7-9
二	二	er4	two; 2; (Beijing dialect) stupid	1
二手	二手	er4 shou3	indirectly acquired; second-hand (information, equipment etc); assistant	4
二手车	二手車	er4 shou3 che1	second-hand car	7-9
二氧化碳	二氧化碳	er4 yang3 hua4 tan4	carbon dioxide CO2	7-9
二维码	二維碼	er4 wei2 ma3	2D barcode; matrix code; (esp.) QR code	5
于	于	Yu2	surname Yu	6
于	于	yu2	to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]	6
云	云	yun2	(classical) to say	2
互信	互信	hu4 xin4	mutual trust	7-9
互助	互助	Hu4 zhu4	see 互助土族自治縣|互助土族自治县[Hu4 zhu4 Tu3 zu2 Zi4 zhi4 xian4]	7-9
互助	互助	hu4 zhu4	to help each other	7-9
互动	互動	hu4 dong4	to interact; interactive	6
互相	互相	hu4 xiang1	each other; mutually; mutual	3
互联网	互聯網	Hu4 lian2 wang3	Internet	3
互补	互補	hu4 bu3	complementary; to complement each other	7-9
互访	互訪	hu4 fang3	exchange visits	7-9
五	五	wu3	five; 5	1
五星级	五星級	wu3 xing1 ji2	five-star (hotel)	7-9
五花八门	五花八門	wu3 hua1 ba1 men2	myriad; all kinds of; all sorts of	7-9
五颜六色	五顏六色	wu3 yan2 liu4 se4	multicolored; every color under the sun	4
井	井	Jing3	Jing, one of the 28 constellations of Chinese astronomy; surname Jing	6
井	井	jing3	a well; CL:口[kou3]; neat; orderly	6
些	些	xie1	classifier indicating a small amount or small number greater than 1: some, a few, several	4
亚军	亞軍	ya4 jun1	second place (in a sports contest); runner-up	5
亚运会	亞運會	Ya4 yun4 hui4	Asian Games	4
亡羊补牢	亡羊補牢	wang2 yang2 bu3 lao2	lit. to mend the pen after sheep are lost (idiom); fig. to act belatedly; better late than never; to lock the stable door after the horse has bolted	7-9
交	交	jiao1	to hand over; to deliver; to pay (money); to turn over; to make friends; (of lines) to intersect; variant of 跤[jiao1]	2
交付	交付	jiao1 fu4	to hand over; to deliver	7-9
交代	交代	jiao1 dai4	to transfer (duties to sb else); to give instructions; to tell (sb to do sth); to explain; to give an account; to brief; to confess; to account for oneself; (jocular) to come to a bad end	5
交叉	交叉	jiao1 cha1	to cross; to intersect; to overlap	7-9
交往	交往	jiao1 wang3	to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact	3
交情	交情	jiao1 qing5	friendship; friendly relations	7-9
交接	交接	jiao1 jie1	(of two things) to come into contact; to meet; to hand over to; to take over from; to associate with; to have friendly relations with; to have sexual intercourse	7-9
交换	交換	jiao1 huan4	to exchange; to swap; to switch (telecom); commutative (math); to commute	4
交易	交易	jiao1 yi4	to deal; to trade; to transact; transaction; deal; CL:筆|笔[bi3]	3
交替	交替	jiao1 ti4	to replace; alternately; in turn	7-9
交朋友	交朋友	jiao1 peng2 you5	to make friends; (dialect) to start an affair with sb	2
交流	交流	jiao1 liu2	to exchange; exchange; communication; interaction; to have social contact (with sb)	3
交涉	交涉	jiao1 she4	to negotiate (with); to have dealings (with)	7-9
交界	交界	jiao1 jie4	common boundary; common border	7-9
交纳	交納	jiao1 na4	to pay (taxes or dues)	7-9
交给	交給	jiao1 gei3	to give; to deliver; to hand over	2
交谈	交談	jiao1 tan2	to discuss; to converse; chat; discussion	7-9
交警	交警	jiao1 jing3	traffic police (abbr. for 交通警察[jiao1 tong1 jing3 cha2])	3
交费	交費	jiao1 fei4	to pay a fee	3
交通	交通	jiao1 tong1	to be connected; traffic; transportation; communications; liaison	2
交锋	交鋒	jiao1 feng1	to cross swords; to have a confrontation (with sb)	7-9
交际	交際	jiao1 ji4	communication; social intercourse	4
交集	交集	jiao1 ji2	(of diverse emotions) to occur simultaneously; to intermingle; common ground; points of commonality; overlap; connection; interaction; dealings; (math.) (set theory) intersection	7-9
交响乐	交響樂	jiao1 xiang3 yue4	symphony	7-9
交头接耳	交頭接耳	jiao1 tou2 jie1 er3	to whisper to one another's ear	7-9
亦	亦	yi4	also	7-9
享	享	xiang3	to enjoy; to benefit; to have the use of	7-9
享受	享受	xiang3 shou4	to enjoy; to live it up; pleasure; CL:種|种[zhong3]	5
享有	享有	xiang3 you3	to enjoy (rights, privileges etc)	7-9
京剧	京劇	Jing1 ju4	Beijing opera; CL:場|场[chang3],齣|出[chu1]	3
亮	亮	liang4	bright; light; to shine; to flash; loud and clear; to show (one's passport etc); to make public (one's views etc)	2
亮相	亮相	liang4 xiang4	to strike a pose (Chinese opera); (fig.) to make a public appearance; to come out in public (revealing one's true personality, opinions etc); (of a product) to appear on the market or at a trade show etc	7-9
亮丽	亮麗	liang4 li4	bright and beautiful	7-9
亮点	亮點	liang4 dian3	highlight; bright spot	7-9
享	亯	xiang3	old variant of 享[xiang3]	7-9
